clk reset hsync vsync blank hcnt vcnt   time(ns)
 0    0     x     x     x     x    x         0
 0    0     1     1     0    19    3      3320
 1    0     1     1     1     0    4      3340
 0    0     1     1     1     0    4      3360
 1    0     1     1     1     1    4      3380
 0    0     1     1     1     1    4      3400
 1    0     1     1     1     2    4      3420
 0    0     1     1     1     2    4      3440
 1    0     1     1     1     3    4      3460
 0    0     1     1     1     3    4      3480
 1    0     1     1     1     4    4      3500
 0    0     1     1     1     4    4      3520
 1    0     1     1     1     5    4      3540
 0    0     1     1     1     5    4      3560
 1    0     1     1     1     6    4      3580
 0    0     1     1     1     6    4      3600
 1    0     1     1     1     7    4      3620
 0    0     1     1     1     7    4      3640
 1    0     1     1     0     8    4      3660
 0    0     1     1     0     8    4      3680
 1    0     1     1     0     9    4      3700
 0    0     1     1     0     9    4      3720
 1    0     0     1     0    10    4      3740
 0    0     0     1     0    10    4      3760
 1    0     0     1     0    11    4      3780
 0    0     0     1     0    11    4      3800
 1    0     0     1     0    12    4      3820
 0    0     0     1     0    12    4      3840
 1    0     0     1     0    13    4      3860
 0    0     0     1     0    13    4      3880
 1    0     0     1     0    14    4      3900
 0    0     0     1     0    14    4      3920
 1    0     0     1     0    15    4      3940
 0    0     0     1     0    15    4      3960
 1    0     1     1     0    16    4      3980
 0    0     1     1     0    16    4      4000
 1    0     1     1     0    17    4      4020
 0    0     1     1     0    17    4      4040
 1    0     1     1     0    18    4      4060
 0    0     1     1     0    18    4      4080
 1    0     1     1     0    19    4      4100
 0    0     1     1     0    19    4      4120
 1    0     1     1     1     0    5      4140
 0    0     1     1     1     0    5      4160
 1    0     1     1     1     1    5      4180
 0    0     1     1     1     1    5      4200
 1    0     1     1     1     2    5      4220
 0    0     1     1     1     2    5      4240
 1    0     1     1     1     3    5      4260
 0    0     1     1     1     3    5      4280
 1    0     1     1     1     4    5      4300
 0    0     1     1     1     4    5      4320
 1    0     1     1     1     5    5      4340
 0    0     1     1     1     5    5      4360
 1    0     1     1     1     6    5      4380
 0    0     1     1     1     6    5      4400
 1    0     1     1     1     7    5      4420
 0    0     1     1     1     7    5      4440
 1    0     1     1     0     8    5      4460
 0    0     1     1     0     8    5      4480
 1    0     1     1     0     9    5      4500
 0    0     1     1     0     9    5      4520
 1    0     0     1     0    10    5      4540
 0    0     0     1     0    10    5      4560
 1    0     0     1     0    11    5      4580
 0    0     0     1     0    11    5      4600
 1    0     0     1     0    12    5      4620
 0    0     0     1     0    12    5      4640
 1    0     0     1     0    13    5      4660
 0    0     0     1     0    13    5      4680
 1    0     0     1     0    14    5      4700
 0    0     0     1     0    14    5      4720
 1    0     0     1     0    15    5      4740
 0    0     0     1     0    15    5      4760
 1    0     1     1     0    16    5      4780
 0    0     1     1     0    16    5      4800
 1    0     1     1     0    17    5      4820
 0    0     1     1     0    17    5      4840
 1    0     1     1     0    18    5      4860
 0    0     1     1     0    18    5      4880
 1    0     1     1     0    19    5      4900
 0    0     1     1     0    19    5      4920
 1    0     1     1     0     0    6      4940
 0    0     1     1     0     0    6      4960
 1    0     1     1     0     1    6      4980
 0    0     1     1     0     1    6      5000
 1    0     1     1     0     2    6      5020
 0    0     1     1     0     2    6      5040
 1    0     1     1     0     3    6      5060
 0    0     1     1     0     3    6      5080
 1    0     1     1     0     4    6      5100
 0    0     1     1     0     4    6      5120
 1    0     1     1     0     5    6      5140
 0    0     1     1     0     5    6      5160
 1    0     1     1     0     6    6      5180
 0    0     1     1     0     6    6      5200
 1    0     1     1     0     7    6      5220
